date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:05:23	110619/110619	---M--	200	added ('OK')	image/jpeg	etag:%221b01b-5284cebaa8600%22	http://ecd-sartrouville.fr/wp-content/uploads/2016/01/Ecd_sartrouville_BT.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2016/01/Ecd_sartrouville_BT.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:23	30527/30527	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2014:05:21%20GMT	http://ecd-sartrouville.fr/une-ceremonie-de-remise-des-diplomes-riche-en-emotions-372.html/ecd_sartrouville_remise_des_diplomes2	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/une-ceremonie-de-remise-des-diplomes-riche-en-emotions-372.html/ecd_sartrouville_remise_des_diplomes2.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:25	30512/30512	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2014:05:22%20GMT	http://ecd-sartrouville.fr/une-ceremonie-de-remise-des-diplomes-riche-en-emotions-372.html/ecd_sartrouville_remise_des_diplomes	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/une-ceremonie-de-remise-des-diplomes-riche-en-emotions-372.html/ecd_sartrouville_remise_des_diplomes.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:26	30052/30052	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2014:05:24%20GMT	http://ecd-sartrouville.fr/ecd_sartrouville_remise_des_diplomes1	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/ecd_sartrouville_remise_des_diplomes1.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:28	58782/58782	---M--	200	added ('OK')	image/jpeg	etag:%22e59e-5284ce8358380%22	http://ecd-sartrouville.fr/wp-content/uploads/2016/01/ecd_sartrouville_remise_des_diplomes2.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2016/01/ecd_sartrouville_remise_des_diplomes2.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:30	30467/30467	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2014:05:27%20GMT	http://ecd-sartrouville.fr/nous-sommes-la-france-un-grand-moment-republicain-339.html/ecd_sartrouville_nous_sommes_la_republique	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/nous-sommes-la-france-un-grand-moment-republicain-339.html/ecd_sartrouville_nous_sommes_la_republique.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:36	83484/83484	---M--	200	added ('OK')	image/jpeg	etag:%221461c-5284ce7bb7180%22	http://ecd-sartrouville.fr/wp-content/uploads/2016/01/ecd_sartrouville_remise_des_diplomes.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2016/01/ecd_sartrouville_remise_des_diplomes.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:37	46296/46296	---M--	200	added ('OK')	image/jpeg	etag:%22b4d8-528339bfc4e40%22	http://ecd-sartrouville.fr/wp-content/uploads/2015/12/Ecd_sartrouville_commissaire2.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2015/12/Ecd_sartrouville_commissaire2.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:38	30557/30557	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2014:05:35%20GMT	http://ecd-sartrouville.fr/abdelhafid-commissaire-de-police-au-service-des-autres-336.html/ecd_sartrouville_commissaire2	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/abdelhafid-commissaire-de-police-au-service-des-autres-336.html/ecd_sartrouville_commissaire2.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:39	85570/85570	---M--	200	added ('OK')	image/jpeg	etag:%2214e42-5284bd8d43f40%22	http://ecd-sartrouville.fr/wp-content/uploads/2015/12/ecd_sartrouville_nous_sommes_la_Republique.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2015/12/ecd_sartrouville_nous_sommes_la_Republique.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:39	30409/30409	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2014:05:37%20GMT	http://ecd-sartrouville.fr/lequipe-rh-de-british-telecom-coache-les-jeunes-decd-sartrouville-333.html/ecd_sartrouville_rh_bt_2	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/lequipe-rh-de-british-telecom-coache-les-jeunes-decd-sartrouville-333.html/ecd_sartrouville_rh_bt_2.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:41	52619/52619	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Apr%202019%2014:05:38%20GMT	http://ecd-sartrouville.fr/author/admin	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/author/admin.html	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
16:05:42	121726/121726	---M--	200	added ('OK')	image/jpeg	etag:%221db7e-5284ce7f87a80%22	http://ecd-sartrouville.fr/wp-content/uploads/2016/01/ecd_sartrouville_remise_des_diplomes1.jpg	C:/Mes%20Sites%20Web/edc/ecd-sartrouville.fr/wp-content/uploads/2016/01/ecd_sartrouville_remise_des_diplomes1.jpg	(from http://ecd-sartrouville.fr/dt_gallery_category/photos)
